iname,itype,idice,imaterial,ivalue,iskill,inote
Knobby Wooden Staff,Weapon,2d6,Iron,1,axesskill,
Pole-Axe,Weapon,2d8,Iron,1,axesskill,
Pike,Weapon,1d12,Iron,1,axesskill,
Scythe,Weapon,2d10,Iron,1,axesskill,-10 to hit with
Halberd,Weapon,2d10,Iron,1,axesskill,
Lucerne Hammer,Weapon,2d8,Iron,1,axesskill,
Glaive,Weapon,2d12,Iron,1,axesskill,
Awl Pike,Weapon,1d12,Iron,1,axesskill,½ Armor
Runka,Weapon,2d10,Iron,1,axesskill,
Man-Catcher,Weapon,1d10,Iron,1,axesskill,
Sabre Halberd,Weapon,2d12,Iron,1,axesskill,
Trident,Weapon,3d6,Iron,1,axesskill,
Military Fork,Weapon,2d6,Iron,1,axesskill,
Lance,Weapon,1d20,Iron,1,axesskill,
Short Spear,Weapon,1d8,Iron,1,axesskill,
Long Spear,Weapon,1d12,Iron,1,axesskill,
Guisarme,Weapon,3d8,Iron,1,axesskill,
Boar Spear,Weapon,1d10,Iron,1,axesskill,
Bardiche,Weapon,4d6,Iron,1,axesskill,
Sodegarami,Weapon,2d6,Iron,1,axesskill,
Katana,Weapon,2d8,Iron,1,axesskill,
Two-Handed Sword,Weapon,2d10,Iron,1,axesskill,2 Handed
Scissor Katar,Weapon,1d8,Iron,1,axesskill,+20 to Parry
Short Sword,Weapon,1d8,Iron,1,axesskill,
Scimitar,Weapon,1d8+1,Iron,1,axesskill,
Sultani,Weapon,2d8,Iron,1,axesskill,2 Handed
Sabre,Weapon,1d8+1,Iron,1,axesskill,
Broadsword,Weapon,1d10,Iron,1,axesskill,
Katar,Weapon,1d8,Iron,1,axesskill,
Scadda,Weapon,1d10+1,Iron,1,axesskill,
Rapier,Weapon,1d8,Iron,1,axesskill,+20 to Parry
Longsword,Weapon,1d12,Iron,1,axesskill,
Falchion,Weapon,1d8+1,Iron,1,axesskill,
Two-Bladed Katar,Weapon,1d8,Iron,1,axesskill,+20 to Parry
Cutlass,Weapon,1d10,Iron,1,axesskill,
Wakazashi,Weapon,2d6,Iron,1,axesskill,
Bastard Sword,Weapon,2d10,Iron,1,axesskill,
Greatsword,Weapon,2d12,Iron,1,axesskill,2 Handed
Claymore,Weapon,2d12,Iron,1,axesskill,2 Handed
Flamberge,Weapon,1d20+2,Iron,1,axesskill,2 Handed
Ball And Chain,Weapon,3d10,Iron,1,axesskill,"2 Handed, -20 to parry"
Flail,Weapon,2d10,Iron,1,axesskill,"2 Handed, -20 to parry"
Triple Flail,Weapon,3d8,Iron,1,axesskill,"2 Handed, -20 to parry"
Spiked Ball And Chain,Weapon,2d10+2d6,Iron,1,axesskill,"2 Handed, -20 to parry"
Chain Axe,Weapon,3d8,Iron,1,axesskill,"2 Handed, -20 to parry"
Morningstar,Weapon,2d12,Iron,1,axesskill,"2 Handed, -20 to parry"
Nunchuku,Weapon,1d6,Iron,1,axesskill,"2 Handed, -20 to parry"
Battle Pick,Weapon,1d12,Iron,1,axesskill,
Sickle,Weapon,2d4+1,Iron,1,axesskill,
Hand Pick,Weapon,1d8,Iron,1,axesskill,½ Armor
Mattock,Weapon,2d8,Iron,1,axesskill,½ Armor
Bullwhip,Weapon,1d8,Iron,1,axesskill,"-20 to parry, cannot damage if armored"
Cat-O-Nine-Tails,Weapon,3d6,Iron,1,axesskill,"-20 to parry, cannot damage if armored"
Kawanga (Grappling Hook),Weapon,1d6,Iron,1,axesskill,"-20 to parry, +20 to climbing"
